station_id,connect_time,disconnect_time,total_duration,charging_duration,energy,energy_per_quarter,z_score
COMM VITALITY / 1104 SPRUCE1,2019-01-05 14:45:00,2019-01-05 17:00:00,135,135,13.949,1.54988888888889,0.200719343424956
COMM VITALITY / 1100WALNUT1,2019-01-09 11:00:00,2019-01-09 13:00:00,120,120,6.447,0.805875,0.0317977398148119
BOULDER / REC CENTER ST1,2019-01-05 14:45:00,2019-01-05 15:45:00,45,45,5.043,1.681,0.81281027823591
COMM VITALITY / 1000WALNUT1,2019-01-09 11:00:00,2019-01-09 15:00:00,240,150,10.521,1.0521,0.369640947035101
COMM VITALITY / 1104 SPRUCE1,2019-01-05 15:15:00,2019-01-05 16:15:00,45,45,3.041,1.01366666666667,0.81281027823591
COMM VITALITY / BOULDER JCTN,2019-01-07 13:45:00,2019-01-07 15:15:00,90,90,10.079,1.67983333333333,0.306045467405477
BOULDER / N BOULDER REC 1,2019-01-09 11:00:00,2019-01-09 13:30:00,150,120,10.915,1.364375,0.0317977398148119
BOULDER / JUNCTION ST1,2019-01-07 14:45:00,2019-01-07 16:45:00,105,105,11.631,1.66157142857143,0.137123863795332
COMM VITALITY / 1104 SPRUCE1,2019-01-12 19:30:00,2019-01-12 22:15:00,165,150,6.571,0.6571,0.369640947035101
BOULDER / FACILITIES ST1,2019-01-09 11:30:00,2019-01-09 13:15:00,105,75,3.821,0.7642,0.474967071015621
BOULDER / N BOULDER REC 1,2019-01-07 15:00:00,2019-01-07 16:30:00,90,90,9.623,1.60383333333333,0.306045467405477
BOULDER / ATRIUM ST1,2019-01-12 19:30:00,2019-01-12 19:45:00,15,15,2.085,2.085,1.1506534854562
COMM VITALITY / 1500PEARL1,2019-01-09 12:15:00,2019-01-09 14:30:00,120,120,7.456,0.932,0.0317977398148119
COMM VITALITY / 1000WALNUT2,2019-01-05 16:30:00,2019-01-05 18:00:00,90,90,4.355,0.725833333333333,0.306045467405477
COMM VITALITY / 1104 SPRUCE1,2019-01-07 17:00:00,2019-01-07 20:00:00,180,180,18.152,1.51266666666667,0.707484154255389
COMM VITALITY / 1100WALNUT1,2019-01-12 20:30:00,2019-01-12 23:15:00,180,120,5.522,0.69025,0.0317977398148119
BOULDER / N BOULDER REC 1,2019-01-09 12:30:00,2019-01-09 15:00:00,150,60,2.802,0.7005,0.643888674625765
COMM VITALITY / 1500PEARL2,2019-01-09 12:45:00,2019-01-09 15:30:00,165,165,16.026,1.45690909090909,0.538562550645245
BOULDER / BASELINE ST1,2019-01-03 14:30:00,2019-01-03 15:30:00,60,60,3.001,0.75025,0.643888674625765
BOULDER / N BOULDER REC 1,2019-01-10 17:15:00,2019-01-10 19:30:00,135,135,6.961,0.773444444444445,0.200719343424956
COMM VITALITY / 1000WALNUT2,2019-01-05 18:30:00,2019-01-05 19:45:00,75,75,3.125,0.625,0.474967071015621
COMM VITALITY / BOULDER JCTN,2019-01-06 08:30:00,2019-01-06 10:15:00,120,120,12.811,1.601375,0.0317977398148119
BOULDER / N BOULDER REC 1,2019-01-06 09:45:00,2019-01-06 13:45:00,240,240,19.88,1.2425,1.38317056869597
BOULDER / N BOULDER REC 1,2019-01-06 10:00:00,2019-01-06 12:45:00,165,150,5.173,0.5173,0.369640947035101
COMM VITALITY / 1500PEARL2,2019-01-06 10:30:00,2019-01-06 12:00:00,90,75,3.328,0.6656,0.474967071015621
COMM VITALITY / 1500PEARL1,2019-01-06 10:45:00,2019-01-06 12:00:00,75,75,1.755,0.351,0.474967071015621
COMM VITALITY / 1000WALNUT1,2019-01-06 10:45:00,2019-01-06 12:45:00,120,120,5.949,0.743625,0.0317977398148119
BOULDER / BASELINE ST1,2019-01-06 10:45:00,2019-01-06 12:00:00,60,60,7.15,1.7875,0.643888674625765
COMM VITALITY / 1104 SPRUCE1,2019-01-06 11:00:00,2019-01-06 14:15:00,195,135,6.425,0.713888888888889,0.200719343424956
COMM VITALITY / BOULDER JCTN,2019-01-06 11:15:00,2019-01-06 11:30:00,15,15,0.709,0.709,1.1506534854562
COMM VITALITY / BOULDER JCTN,2019-01-06 11:15:00,2019-01-06 12:15:00,60,60,6.157,1.53925,0.643888674625765
BOULDER / BASELINE ST1,2019-01-06 11:45:00,2019-01-06 13:15:00,90,90,10.235,1.70583333333333,0.306045467405477
COMM VITALITY / 1100WALNUT1,2019-01-06 11:45:00,2019-01-06 13:00:00,75,75,6.928,1.3856,0.474967071015621
BOULDER / ATRIUM ST1,2019-01-06 11:45:00,2019-01-06 13:15:00,75,75,4.457,0.8914,0.474967071015621
COMM VITALITY / 1000WALNUT2,2019-01-06 12:30:00,2019-01-06 14:15:00,105,105,9.591,1.37014285714286,0.137123863795332
COMM VITALITY / 1104 SPRUCE1,2019-01-06 13:30:00,2019-01-06 15:15:00,105,105,11.393,1.62757142857143,0.137123863795332
COMM VITALITY / 1000WALNUT1,2019-01-06 14:00:00,2019-01-06 15:45:00,105,105,6.072,0.867428571428571,0.137123863795332
COMM VITALITY / 1100WALNUT1,2019-01-06 14:00:00,2019-01-06 15:00:00,45,45,2.899,0.966333333333333,0.81281027823591
